context_type,family_id,gap_previous,gap_current,gap_minutes,date,year,month,weekday,previous_clock,current_clock,before_count,after_count,full_before_context,full_after_context,before_internal_gaps,after_internal_gaps,context_is_continuous,first_before_time,last_before_time,first_after_time,last_after_time,first_before_open,last_before_close,first_after_open,last_after_close,before_high,before_low,after_high,after_low,before_close_to_after_open_change
UNCLASSIFIED,,2026-04-17 20:57:00,2026-04-19 22:01:00,2944.0,2026-04-17,2026,4,Friday,20:57,22:01,5,5,True,True,0,1,False,2026-04-17 20:53:00,2026-04-17 20:57:00,2026-04-19 22:01:00,2026-04-19 22:06:00,4834.047,4832.633,4774.618,4783.454,4835.184,4830.727,4790.634,4771.057,-58.01499999999942
UNCLASSIFIED,,2026-04-19 22:01:00,2026-04-19 22:03:00,2.0,2026-04-19,2026,4,Sunday,22:01,22:03,5,5,True,True,1,0,False,2026-04-17 20:54:00,2026-04-19 22:01:00,2026-04-19 22:03:00,2026-04-19 22:07:00,4833.262,4777.501,4779.978,4782.936,4834.795,4773.521,4790.634,4771.057,2.4769999999998618
UNCLASSIFIED,,2026-04-24 20:57:00,2026-04-26 22:02:00,2945.0,2026-04-24,2026,4,Friday,20:57,22:02,5,5,True,True,0,0,True,2026-04-24 20:53:00,2026-04-24 20:57:00,2026-04-26 22:02:00,2026-04-26 22:06:00,4708.38,4708.466,4696.125,4686.403,4709.129,4706.587,4699.884,4685.349,-12.34100000000035
UNCLASSIFIED,,2026-05-01 20:57:00,2026-05-03 22:03:00,2946.0,2026-05-01,2026,5,Friday,20:57,22:03,5,5,True,True,0,0,True,2026-05-01 20:53:00,2026-05-01 20:57:00,2026-05-03 22:03:00,2026-05-03 22:07:00,4615.041,4613.386,4626.129,4625.849,4617.123,4612.734,4627.13,4622.284,12.742999999999483
UNCLASSIFIED,,2026-05-08 20:57:00,2026-05-10 22:02:00,2945.0,2026-05-08,2026,5,Friday,20:57,22:02,5,5,True,True,0,0,True,2026-05-08 20:53:00,2026-05-08 20:57:00,2026-05-10 22:02:00,2026-05-10 22:06:00,4715.391,4715.06,4691.978,4681.124,4715.667,4714.416,4691.978,4679.072,-23.082000000000335
UNCLASSIFIED,,2026-05-15 20:57:00,2026-05-17 22:02:00,2945.0,2026-05-15,2026,5,Friday,20:57,22:02,5,5,True,True,0,0,True,2026-05-15 20:53:00,2026-05-15 20:57:00,2026-05-17 22:02:00,2026-05-17 22:06:00,4537.831,4539.561,4538.378,4550.908,4539.817,4537.479,4553.636,4538.084,-1.1829999999999927
UNCLASSIFIED,,2026-05-22 20:57:00,2026-05-24 22:01:00,2944.0,2026-05-22,2026,5,Friday,20:57,22:01,5,5,True,True,0,0,True,2026-05-22 20:53:00,2026-05-22 20:57:00,2026-05-24 22:01:00,2026-05-24 22:05:00,4505.634,4507.966,4545.401,4552.548,4508.319,4504.94,4554.104,4543.344,37.43499999999949
UNCLASSIFIED,,2026-05-25 18:29:00,2026-05-25 22:01:00,212.0,2026-05-25,2026,5,Monday,18:29,22:01,5,5,True,True,0,0,True,2026-05-25 18:25:00,2026-05-25 18:29:00,2026-05-25 22:01:00,2026-05-25 22:05:00,4567.857,4570.586,4571.428,4571.249,4570.609,4567.371,4573.054,4570.709,0.8419999999996435
UNCLASSIFIED,,2026-05-29 20:57:00,2026-05-31 22:01:00,2944.0,2026-05-29,2026,5,Friday,20:57,22:01,5,5,True,True,0,0,True,2026-05-29 20:53:00,2026-05-29 20:57:00,2026-05-31 22:01:00,2026-05-31 22:05:00,4541.518,4540.377,4521.226,4521.728,4541.772,4539.409,4526.692,4518.372,-19.15100000000075
UNCLASSIFIED,,2026-06-05 20:57:00,2026-06-07 22:01:00,2944.0,2026-06-05,2026,6,Friday,20:57,22:01,5,5,True,True,0,0,True,2026-06-05 20:53:00,2026-06-05 20:57:00,2026-06-07 22:01:00,2026-06-07 22:05:00,4329.145,4328.48,4325.114,4312.725,4331.092,4327.447,4327.575,4310.686,-3.3659999999999854
UNCLASSIFIED,,2026-06-12 20:57:00,2026-06-14 22:02:00,2945.0,2026-06-12,2026,6,Friday,20:57,22:02,5,5,True,True,0,0,True,2026-06-12 20:53:00,2026-06-12 20:57:00,2026-06-14 22:02:00,2026-06-14 22:06:00,4216.992,4218.665,4270.346,4301.085,4219.296,4215.932,4304.392,4269.222,51.680999999999585
UNCLASSIFIED,,2026-06-19 16:59:00,2026-06-21 22:01:00,3182.0,2026-06-19,2026,6,Friday,16:59,22:01,5,5,True,True,0,0,True,2026-06-19 16:55:00,2026-06-19 16:59:00,2026-06-21 22:01:00,2026-06-21 22:05:00,4151.624,4155.421,4153.418,4157.742,4155.57,4151.346,4159.66,4150.787,-2.003000000000611
UNCLASSIFIED,,2026-06-26 20:57:00,2026-06-28 22:01:00,2944.0,2026-06-26,2026,6,Friday,20:57,22:01,5,5,True,True,0,0,True,2026-06-26 20:53:00,2026-06-26 20:57:00,2026-06-28 22:01:00,2026-06-28 22:05:00,4077.246,4088.245,4075.881,4074.99,4090.403,4077.164,4085.307,4072.616,-12.364000000000033
UNCLASSIFIED,,2026-07-03 16:59:00,2026-07-05 22:01:00,3182.0,2026-07-03,2026,7,Friday,16:59,22:01,5,5,True,True,0,0,True,2026-07-03 16:55:00,2026-07-03 16:59:00,2026-07-05 22:01:00,2026-07-05 22:05:00,4175.056,4174.661,4177.917,4181.689,4176.347,4173.536,4182.341,4173.191,3.256000000000313
UNCLASSIFIED,,2026-07-10 20:57:00,2026-07-12 22:01:00,2944.0,2026-07-10,2026,7,Friday,20:57,22:01,5,5,True,True,0,0,True,2026-07-10 20:53:00,2026-07-10 20:57:00,2026-07-12 22:01:00,2026-07-12 22:05:00,4114.364,4119.766,4098.561,4086.017,4121.11,4113.995,4099.253,4085.177,-21.204999999999927
UNCLASSIFIED,,2026-07-17 20:57:00,2026-07-19 22:01:00,2944.0,2026-07-17,2026,7,Friday,20:57,22:01,5,5,True,True,0,0,True,2026-07-17 20:53:00,2026-07-17 20:57:00,2026-07-19 22:01:00,2026-07-19 22:05:00,4018.314,4017.752,4000.132,4001.122,4018.748,4015.556,4002.918,3994.739,-17.61999999999989
UNCLASSIFIED,,2026-07-24 20:57:00,2026-07-26 22:01:00,2944.0,2026-07-24,2026,7,Friday,20:57,22:01,5,5,True,True,0,0,True,2026-07-24 20:53:00,2026-07-24 20:57:00,2026-07-26 22:01:00,2026-07-26 22:05:00,4053.576,4052.932,4091.771,4089.625,4054.142,4052.007,4096.553,4089.004,38.8390000000004
UNCLASSIFIED,,2026-07-31 20:57:00,2026-08-02 22:01:00,2944.0,2026-07-31,2026,7,Friday,20:57,22:01,5,5,True,True,0,0,True,2026-07-31 20:53:00,2026-07-31 20:57:00,2026-08-02 22:01:00,2026-08-02 22:05:00,4051.817,4043.812,4073.04,4077.561,4052.017,4043.047,4079.393,4067.986,29.228000000000065
UNCLASSIFIED,,2026-08-07 20:57:00,2026-08-09 22:01:00,2944.0,2026-08-07,2026,8,Friday,20:57,22:01,5,5,True,True,0,0,True,2026-08-07 20:53:00,2026-08-07 20:57:00,2026-08-09 22:01:00,2026-08-09 22:05:00,4341.016,4342.202,4347.782,4338.187,4342.576,4339.629,4348.7,4332.725,5.579999999999927
