Datetime,Open,High,Low,Close,M1_Count,Expected_M1,Missing_M1,Status,GapCause
2021-08-17 00:00:00,0.91255,0.91273,0.91254,0.91266,14,15,1,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-17 00:15:00,0.91263,0.91279,0.91255,0.91264,14,15,1,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-17 00:30:00,0.91262,0.91288,0.91262,0.91287,14,15,1,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-17 00:45:00,0.91288,0.91296,0.91285,0.91295,11,15,4,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-17 01:00:00,0.91292,0.91296,0.91277,0.91279,13,15,2,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-17 01:15:00,0.91276,0.91287,0.91274,0.91285,14,15,1,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-17 01:30:00,0.91286,0.91331,0.91284,0.91328,15,15,0,COMPLETE,
2021-08-17 01:45:00,0.91324,0.91327,0.91279,0.91287,15,15,0,COMPLETE,
2021-08-17 02:00:00,0.91285,0.91287,0.91268,0.91284,11,15,4,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-17 02:15:00,0.91287,0.91287,0.91268,0.91278,12,15,3,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-17 02:30:00,0.91273,0.91317,0.91267,0.91301,15,15,0,COMPLETE,
2021-08-17 02:45:00,0.91304,0.91313,0.91296,0.91309,14,15,1,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-17 03:00:00,0.9131,0.91331,0.91299,0.91317,15,15,0,COMPLETE,
2021-08-17 03:15:00,0.91316,0.91338,0.91316,0.91332,15,15,0,COMPLETE,
2021-08-17 03:30:00,0.9133,0.91341,0.91326,0.91335,11,15,4,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-17 03:45:00,0.91333,0.91341,0.91328,0.91336,14,15,1,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-17 04:00:00,0.91334,0.91344,0.91334,0.91335,13,15,2,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-17 04:15:00,0.91334,0.91353,0.91334,0.91353,11,15,4,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-17 04:30:00,0.91351,0.91354,0.91336,0.91345,12,15,3,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-17 04:45:00,0.91342,0.91346,0.91339,0.91343,13,15,2,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-17 05:00:00,0.91345,0.91345,0.91335,0.91343,13,15,2,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-17 05:15:00,0.91345,0.91353,0.91336,0.91339,13,15,2,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-17 05:30:00,0.91337,0.91345,0.91317,0.91319,13,15,2,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-17 05:45:00,0.91317,0.91329,0.91317,0.91325,12,15,3,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-17 06:00:00,0.91324,0.91328,0.91299,0.91305,15,15,0,COMPLETE,
2021-08-17 06:15:00,0.91303,0.91315,0.91261,0.91278,14,15,1,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-17 06:30:00,0.91274,0.91279,0.9126,0.91266,15,15,0,COMPLETE,
2021-08-17 06:45:00,0.91267,0.9127,0.91211,0.91252,15,15,0,COMPLETE,
2021-08-17 07:00:00,0.9125,0.91254,0.91122,0.9117,15,15,0,COMPLETE,
2021-08-17 07:15:00,0.91169,0.91181,0.91106,0.91135,15,15,0,COMPLETE,
2021-08-17 07:30:00,0.91138,0.91161,0.9111,0.91137,14,15,1,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-17 07:45:00,0.91138,0.91161,0.91051,0.91059,15,15,0,COMPLETE,
2021-08-17 08:00:00,0.91063,0.91162,0.91044,0.91072,15,15,0,COMPLETE,
2021-08-17 08:15:00,0.91068,0.91074,0.91005,0.91018,15,15,0,COMPLETE,
2021-08-17 08:30:00,0.91021,0.91058,0.91019,0.91043,15,15,0,COMPLETE,
2021-08-17 08:45:00,0.91045,0.91079,0.91037,0.91059,15,15,0,COMPLETE,
2021-08-17 09:00:00,0.91057,0.9112,0.91055,0.91073,15,15,0,COMPLETE,
2021-08-17 09:15:00,0.91072,0.91153,0.9107,0.91139,15,15,0,COMPLETE,
2021-08-17 09:30:00,0.91138,0.9115,0.91075,0.91083,15,15,0,COMPLETE,
2021-08-17 09:45:00,0.91079,0.91124,0.91075,0.91123,15,15,0,COMPLETE,
2021-08-17 10:00:00,0.91121,0.91127,0.91077,0.91111,15,15,0,COMPLETE,
2021-08-17 10:15:00,0.9111,0.91162,0.91104,0.91162,15,15,0,COMPLETE,
2021-08-17 10:30:00,0.91159,0.91177,0.91138,0.9114,14,15,1,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-17 10:45:00,0.91143,0.91152,0.91114,0.9112,15,15,0,COMPLETE,
2021-08-17 11:00:00,0.91118,0.91143,0.91114,0.91127,15,15,0,COMPLETE,
2021-08-17 11:15:00,0.91124,0.91124,0.91043,0.91044,15,15,0,COMPLETE,
2021-08-17 11:30:00,0.91043,0.91045,0.91008,0.91027,15,15,0,COMPLETE,
2021-08-17 11:45:00,0.91023,0.91087,0.9102,0.91071,15,15,0,COMPLETE,
2021-08-17 12:00:00,0.91069,0.91094,0.91028,0.91038,15,15,0,COMPLETE,
2021-08-17 12:15:00,0.91034,0.91073,0.90993,0.91064,15,15,0,COMPLETE,
2021-08-17 12:30:00,0.91061,0.91247,0.90993,0.91212,15,15,0,COMPLETE,
2021-08-17 12:45:00,0.91213,0.91255,0.91197,0.91221,12,15,3,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-17 13:00:00,0.91218,0.91254,0.91211,0.91228,15,15,0,COMPLETE,
2021-08-17 13:15:00,0.91226,0.91255,0.91177,0.91197,15,15,0,COMPLETE,
2021-08-17 13:30:00,0.91193,0.9123,0.9117,0.91218,15,15,0,COMPLETE,
2021-08-17 13:45:00,0.9122,0.9122,0.91165,0.9119,15,15,0,COMPLETE,
2021-08-17 14:00:00,0.91188,0.91298,0.91169,0.91281,15,15,0,COMPLETE,
2021-08-17 14:15:00,0.91282,0.91308,0.91266,0.91296,15,15,0,COMPLETE,
2021-08-17 14:30:00,0.91293,0.91381,0.91293,0.9138,15,15,0,COMPLETE,
2021-08-17 14:45:00,0.91381,0.91469,0.91351,0.91425,15,15,0,COMPLETE,
2021-08-17 15:00:00,0.91427,0.91461,0.91398,0.9144,15,15,0,COMPLETE,
2021-08-17 15:15:00,0.91442,0.91445,0.91387,0.91445,15,15,0,COMPLETE,
2021-08-17 15:30:00,0.91446,0.91486,0.9144,0.91464,15,15,0,COMPLETE,
2021-08-17 15:45:00,0.91466,0.91468,0.91445,0.91446,15,15,0,COMPLETE,
2021-08-17 16:00:00,0.91447,0.91456,0.91398,0.91411,15,15,0,COMPLETE,
2021-08-17 16:15:00,0.91412,0.91434,0.91408,0.91426,15,15,0,COMPLETE,
2021-08-17 16:30:00,0.91423,0.91435,0.91416,0.91431,15,15,0,COMPLETE,
2021-08-17 16:45:00,0.91433,0.91467,0.91429,0.91464,14,15,1,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-17 17:00:00,0.91461,0.91461,0.91401,0.91401,15,15,0,COMPLETE,
2021-08-17 17:15:00,0.91403,0.91428,0.91384,0.914,15,15,0,COMPLETE,
2021-08-17 17:30:00,0.91402,0.91423,0.91385,0.91412,13,15,2,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-17 17:45:00,0.91409,0.91435,0.91407,0.91408,15,15,0,COMPLETE,
2021-08-17 18:00:00,0.91411,0.91437,0.91396,0.9141,15,15,0,COMPLETE,
2021-08-17 18:15:00,0.91413,0.91445,0.91401,0.91444,15,15,0,COMPLETE,
2021-08-17 18:30:00,0.91442,0.9146,0.91435,0.91451,14,15,1,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-17 18:45:00,0.9145,0.91491,0.91439,0.91474,14,15,1,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-17 19:00:00,0.91471,0.91493,0.91469,0.91486,13,15,2,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-17 19:15:00,0.91483,0.91491,0.9148,0.91487,14,15,1,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-17 19:30:00,0.91486,0.9151,0.91484,0.91508,15,15,0,COMPLETE,
2021-08-17 19:45:00,0.91505,0.91511,0.91437,0.91458,15,15,0,COMPLETE,
2021-08-17 20:00:00,0.91461,0.91485,0.91459,0.91462,9,15,6,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-17 20:15:00,0.91464,0.91493,0.91458,0.9149,10,15,5,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-17 20:30:00,0.91491,0.91495,0.91483,0.91493,9,15,6,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-17 20:45:00,0.91494,0.91495,0.9147,0.9147,12,15,3,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-17 21:00:00,0.91438,0.91464,0.91392,0.91453,10,15,5,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-17 21:15:00,0.91445,0.91454,0.91441,0.91441,4,15,11,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-17 21:30:00,0.91468,0.91468,0.91435,0.91446,6,15,9,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-17 21:45:00,0.91447,0.91447,0.91434,0.91436,5,15,10,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-17 22:00:00,0.91464,0.91501,0.91426,0.91495,12,15,3,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-17 22:15:00,0.91501,0.91522,0.91496,0.91514,9,15,6,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-17 22:30:00,0.91511,0.91522,0.91489,0.91492,11,15,4,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-17 22:45:00,0.9149,0.91523,0.91488,0.91509,8,15,7,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-17 23:00:00,0.91507,0.91507,0.91495,0.91498,13,15,2,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-17 23:15:00,0.91496,0.91499,0.9149,0.91494,12,15,3,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-17 23:30:00,0.91491,0.91506,0.91491,0.91497,6,15,9,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-17 23:45:00,0.91498,0.91499,0.91488,0.91489,10,15,5,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-18 00:00:00,0.91491,0.91501,0.91472,0.91473,15,15,0,COMPLETE,
2021-08-18 00:15:00,0.91476,0.9149,0.91463,0.91464,13,15,2,UNEXPECTED_INCOMPLETE,UNEXPECTED
2021-08-18 00:30:00,0.91465,0.91481,0.91465,0.91481,12,15,3,UNEXPECTED_INCOMPLETE,UNEXPECTED
