boundary_family,occurrences,unique_dates,unique_years,unique_weekdays,median_gap_minutes,min_gap_minutes,max_gap_minutes,median_previous_minute,median_current_minute,first_seen,last_seen,year_persistence,date_persistence,weekday_persistence,persistence_score,boundary_strength
P30_C35_D64,619,619,6,4,64.0,63.0,65.0,1257.0,1321.0,2021-10-19 20:58:00,2026-08-12 20:57:00,1.0,1.0,0.8,0.9600000000000001,594.24
P33_C39_D64,319,319,6,4,64.0,63.0,65.0,1317.0,1381.0,2021-11-08 21:58:00,2026-03-04 21:57:00,1.0,1.0,0.8,0.9600000000000001,306.24
P41_C1_D2,50,50,2,4,2.0,2.0,2.0,1438.0,0.0,2023-05-29 23:58:00,2024-04-18 23:58:00,0.3333333333333333,1.0,0.8,0.6266666666666667,31.333333333333336
