pattern_signature,occurrences,unique_dates,unique_weekdays,unique_years,median_gap_minutes,min_gap_minutes,max_gap_minutes,first_seen,last_seen,persistence_score
20:57 -> 22:01 | 64m,433,433,4,5,64.0,64.0,64.0,2022-03-21 20:57:00,2026-05-11 20:57:00,0.8766666666666667
21:57 -> 23:01 | 64m,187,187,4,5,64.0,64.0,64.0,2022-11-07 21:57:00,2026-03-03 21:57:00,0.8766666666666667
20:57 -> 22:02 | 64m,87,87,4,2,65.0,65.0,65.0,2025-04-22 20:57:00,2026-05-26 20:57:00,0.6266666666666667
21:58 -> 23:01 | 64m,68,68,4,2,63.0,63.0,63.0,2021-11-08 21:58:00,2022-03-10 21:58:00,0.6266666666666667
23:58 -> 00:00 | 2m,50,50,4,2,2.0,2.0,2.0,2023-05-29 23:58:00,2024-04-18 23:58:00,0.6266666666666667
21:57 -> 23:00 | 64m,34,34,4,2,63.0,63.0,63.0,2025-11-03 21:57:00,2026-03-04 21:57:00,0.6266666666666667
