previous_weekday,current_weekday,occurrences,unique_dates,unique_years,median_gap_minutes,max_gap_minutes
Tuesday,Wednesday,2,2,1,1449.5,1451.0
Wednesday,Thursday,2,2,1,1449.0,1450.0
