previous_weekday,current_weekday,occurrences,unique_dates,unique_years,median_gap_minutes,max_gap_minutes
Tuesday,Wednesday,2,2,1,1448.0,1449.0
Wednesday,Thursday,2,2,1,1447.0,1447.0
