date,family_id,occurrences,first_previous_clock,last_previous_clock,first_current_clock,last_current_clock,median_gap_minutes,min_gap_minutes,max_gap_minutes,year,month,weekday
2022-01-27,P33_C39_D64,1,21:58,21:58,23:01,23:01,63.0,63.0,63.0,2022,1,Thursday
2022-01-31,P33_C39_D64,1,21:58,21:58,23:01,23:01,63.0,63.0,63.0,2022,1,Monday
2022-02-01,P33_C39_D64,1,21:58,21:58,23:01,23:01,63.0,63.0,63.0,2022,2,Tuesday
2022-02-02,P33_C39_D64,1,21:58,21:58,23:01,23:01,63.0,63.0,63.0,2022,2,Wednesday
2022-02-03,P33_C39_D64,1,21:58,21:58,23:01,23:01,63.0,63.0,63.0,2022,2,Thursday
2022-02-07,P33_C39_D64,1,21:58,21:58,23:01,23:01,63.0,63.0,63.0,2022,2,Monday
2022-02-08,P33_C39_D64,1,21:58,21:58,23:01,23:01,63.0,63.0,63.0,2022,2,Tuesday
2022-02-09,P33_C39_D64,1,21:58,21:58,23:01,23:01,63.0,63.0,63.0,2022,2,Wednesday
2022-02-10,P33_C39_D64,1,21:58,21:58,23:01,23:01,63.0,63.0,63.0,2022,2,Thursday
2022-02-14,P33_C39_D64,1,21:58,21:58,23:01,23:01,63.0,63.0,63.0,2022,2,Monday
2022-02-15,P33_C39_D64,1,21:58,21:58,23:01,23:01,63.0,63.0,63.0,2022,2,Tuesday
2022-02-16,P33_C39_D64,1,21:58,21:58,23:01,23:01,63.0,63.0,63.0,2022,2,Wednesday
2022-02-17,P33_C39_D64,1,21:58,21:58,23:01,23:01,63.0,63.0,63.0,2022,2,Thursday
2022-02-22,P33_C39_D64,1,21:58,21:58,23:01,23:01,63.0,63.0,63.0,2022,2,Tuesday
2022-02-23,P33_C39_D64,1,21:58,21:58,23:01,23:01,63.0,63.0,63.0,2022,2,Wednesday
2022-02-24,P33_C39_D64,1,21:58,21:58,23:01,23:01,63.0,63.0,63.0,2022,2,Thursday
2022-02-28,P33_C39_D64,1,21:58,21:58,23:01,23:01,63.0,63.0,63.0,2022,2,Monday
